ProductName,image,link,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Item Form,Skin Type,Brand,Scent,Material Feature,Material Type Free,Age Range (Description),Number of Items,Net Quantity,Special Feature,Is Discontinued By Manufacturer,Product Dimensions,Date First Available,Manufacturer,ASIN,Item model number,Country of Origin,Item Weight,Item Dimensions LxWxH,Generic Name,Packer,Importer,Included Components,Use for,Package Dimensions,Item part number,Colour,Item Package Quantity,Product Benefits,Special Ingredients,Recommended Uses For Product
"UrbanBotanics® Tea Tree, Basil & Purifying Neem Face Wash For Women & Men - Paraben Free - SLES Free - For Normal, Oily & Acne Prone Skin, 100ml",https://m.media-amazon.com/images/I/61w49E7M1IL._AC_UL320_.jpg,https://amazon.in/UrbanBotanics%C2%AE-Tree-Neem-Basil-Women/dp/B07ZWJSWXC/ref=sr_1_41?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-41,99,249,4,"3,233",46%,28%,15%,6%,6%,https://amazon.in/UrbanBotanics%C2%AE-Tree-Neem-Basil-Women/product-reviews/B07ZWJSWXC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,"All, Oily, Combination, Dry, Normal",UrbanBotanics,Neem,Cruelty Free,Alcohol Free Paraben Free Sles Free SLS Free,Adult,1,100 millilitre,Not Tested On Animals,No,18.5 x 8 x 4.5 cm; 100 Grams,31-Oct-19,"UBPL, UBPL",B07ZWJSWXC,UBFWTNB,India,100 g,18.5 x 8 x 4.5 Centimeters,UBNTBFW100ml,"IBPL, maharashtra",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"POND'S Pure Detox Face Wash 100 g, Daily Exfoliating & Brightening Cleanser, Deep Cleans Oily Skin - With Activated Charcoal for Fresh, Glowing Skin",https://m.media-amazon.com/images/I/51L5bu0xu9L._AC_UL320_.jpg,https://amazon.in/Ponds-Pollution-Activated-Charcoal-Facewash/dp/B006TTQI20/ref=sr_1_42_mod_primary_new?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=face+wash%2Caps%2C245&sr=8-42,161215,220₹220,4.3,"11,181",57%,26%,11%,3%,4%,https://amazon.in/Ponds-Pollution-Activated-Charcoal-Facewash/product-reviews/B006TTQI20/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,Normal,POND'S,Activated Charcoal,Not available,Not available,Adult,1,100.0 gram,Exfoliating,No,15.2 x 3.8 x 5.1 cm; 100 Grams,01-Jan-17,HUL,B006TTQI20,12637,India,100 g,15.2 x 3.8 x 5.1 Centimeters,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Blushed Nudes Palette,1,Not available,Not available,Not available
"Nivea Dark Spot Reduction Face Wash, 100ml (Pack of 3)",https://m.media-amazon.com/images/I/6144327llvL._AC_UL320_.jpg,https://amazon.in/Nivea-Dark-Spot-Reduction-100ml/dp/B07P8Y7P3X/ref=sr_1_43_mod_primary_new?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=face+wash%2Caps%2C245&sr=8-43,499650,675₹675,4.3,"4,946",60%,24%,9%,2%,4%,https://amazon.in/Nivea-Dark-Spot-Reduction-100ml/product-reviews/B07P8Y7P3X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Pack of 3,Cream,Normal,Nivea,Fresh,Not available,Not available,Adult,3,300.0 millilitre,Not Tested On Animals,Not available,12.7 x 7.7 x 12.7 cm; 360 Grams,27-Feb-19,"NIVEA INDIA PVT LTD, NIVEA INDIA PVT LTD, SM-9/1, SANAND II,IND. ESTATE,VILL.BOL,SANAND,AHMEDABAD",B07P8Y7P3X,NIV26,India,360 g,12.7 x 7.7 x 12.7 Centimeters,"Dark Spot Reduction Face Wash, 100ml (Pack of 3)","Prime Retails, Plot no. 7, Jindal Colony, Samalka Extn, New Delhi-59 Ph-9971769499","NIVEA INDIA PVT LTD, SM-9/1, SANAND II,IND. ESTATE,VILL.BOL,SANAND,AHMEDABAD",Nivea Dark Spot Reduction Face Wash 100 ml (Pack of 3),Face,Not available,Not available,Not available,1,Not available,Not available,Not available
"Himalaya Natural Glow Kesar Face Wash, 150ml",https://m.media-amazon.com/images/I/51CXZHh+UxL._AC_UL320_.jpg,https://amazon.in/Himalaya-Fairness-Kesar-Face-150ml/dp/B00NARTS1C/ref=sr_1_44?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-44,148,175,4.2,"6,641",56%,26%,11%,3%,4%,https://amazon.in/Himalaya-Fairness-Kesar-Face-150ml/product-reviews/B00NARTS1C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Face wash,All,Himalaya,Fresh,Natural,Artificial Colour Free,Adult,1,150.0 millilitre,Nourishing,No,8 x 4.6 x 16.2 cm; 220 Grams,01-Jan-17,"Himalaya, The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",B00NARTS1C,7001459,India,220 g,8 x 4.6 x 16.2 Centimeters,"Face wash,","The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",Not available,Face Wash 1 unit 150ML,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Himalaya Herbals Purifying Neem Face Wash, 100ml",https://m.media-amazon.com/images/I/51V1zNFpLFL._AC_UL320_.jpg,https://amazon.in/Himalaya-Herbals-Purifying-Neem-100ml/dp/B002Q5JE2C/ref=sr_1_45_mod_primary_new?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=face+wash%2Caps%2C245&sr=8-45,150126,150,4.4,"1,990",60%,26%,9%,3%,3%,https://amazon.in/Himalaya-Herbals-Purifying-Neem-100ml/product-reviews/B002Q5JE2C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,Combination,Himalaya,Neem,Not available,Soap-free,Adult,1,100.0 millilitre,"Antiseptic, Soothing",No,6.3 x 3.6 x 16.7 cm; 100 Grams,02-Sep-13,"Himalaya, The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",B002Q5JE2C,7000863,India,100 g,6.3 x 3.6 x 16.7 Centimeters,Purifying Neem Face Wash + Purifying Neem Facial Wipes 10's (Free),"The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",Not available,Face Wash 1 unit 100ml,Not available,Not available,Not available,Green,Not available,Not available,Not available,Not available
"Ustraa Power Face Wash Energize and De-Tan - 200g - Dermatologically Tested, No Sulphates, No Parabens, No Silicone, No Mineral Oil",https://m.media-amazon.com/images/I/51BlVVhqlFL._AC_UL320_.jpg,https://amazon.in/Ustraa-Power-Face-Wash-Energize/dp/B09V2LS2MT/ref=sr_1_46?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-46,316,450,3.9,337,51%,20%,13%,5%,11%,https://amazon.in/Ustraa-Power-Face-Wash-Energize/product-reviews/B09V2LS2MT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,All,Ustraa,Fresh,Dermatologist Tested,"Sodium Laureth Sulfate (SLES) Free, Silicone Free, Mineral Oil Free, Paraben Free",Adult,1,200.0 millilitre,Not available,Not available,8 x 4 x 20 cm; 210 Grams,08-Mar-22,"M.G. Shahani and Co. Delhi Pvt. Ltd., M.G. Shahani & Co. (Delhi) Ltd., 30 Pharma City, Selaqui Industrial Area, Dehradun, Uttarakhand - 248197",B09V2LS2MT,8.90422E+12,India,210 g,8 x 4 x 20 Centimeters,Face Wash,"Happily Unmarried Marketing Pvt Ltd, A-48, FIEE Complex, Okhla Phase 2, New Delhi 110020",Not available,Not available,Face,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"L'Oreal Paris Glycolic Bright Daily Foaming Face Cleanser, 100ml | Glycolic Acid Face Wash for Dull Skin | Daily Glowing Facial Cleanser",https://m.media-amazon.com/images/I/51OJbTaK3JL._AC_UL320_.jpg,https://amazon.in/Paris-Glycolic-Foaming-Cleanser-Glowing/dp/B09ST9TN64/ref=sr_1_47?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-47,247,329,4.1,246,54%,24%,9%,5%,8%,https://amazon.in/Paris-Glycolic-Foaming-Cleanser-Glowing/product-reviews/B09ST9TN64/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,100 ml (Pack of 1),Mousse,All,L'Oreal Paris,Aloe Vera,Not available,Not available,Adult,1,100.0 millilitre,Not available,Not available,16.51 x 5 x 4 cm; 110 Grams,15-Aug-22,"PT. YASULOR INDONESIA KAWASAN INDUSTRI JABABEKA 1, Indonesia, PT. YASULOR INDONESIA KAWASAN INDUSTRI JABABEKA 1,JALAN JABABEKA IV, BLOK V NO. 10-33 & 44-63, PASIR GOMBONG, CIKARANG UTARA, BEKASI, 17530, JAWA BARAT-Indonesia",B09ST9TN64,GLBCL100,Indonesia,110 g,16.5 x 5 x 4 Centimeters,Face Wash,"PT. YASULOR INDONESIA KAWASAN INDUSTRI JABABEKA 1,JALAN JABABEKA IV, BLOK V NO. 10-33 & 44-63, PASIR GOMBONG, CIKARANG UTARA, BEKASI, 17530, JAWA BARAT-Indonesia","L'Oréal India Pvt. Ltd. A-Wing, 8th Floor, Marathon Futurex, NM Joshi Marg, Lower Parel, Mumbai, Maharashtra 400013",Not available,Face,Not available,Not available,Clear,Not available,"Dark Spot Removal, Brightening, Blemishes Treatment, Detoxifying",Not available,Not available
Aroma Magic Face Wash 100 ml (Lavender),https://m.media-amazon.com/images/I/41WkeTmtlHL._AC_UL320_.jpg,https://amazon.in/Aroma-Magic-Lavender-Face-100ml/dp/B00DRE00D8/ref=sr_1_48?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-48,142,190,4.1,"4,303",49%,27%,13%,4%,7%,https://amazon.in/Aroma-Magic-Lavender-Face-100ml/product-reviews/B00DRE00D8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,Dry,Aroma Magic,Lavender,Natural,"Soap Free, Alcohol Free, Paraben Free",Adult,1,100.0 millilitre,Aromatherapy,No,4.5 x 4.5 x 15 cm; 120 Grams,02-Sep-13,"Blossom Kochhar Beauty Products Pvt. Ltd., Blossom Kochhar Beauty Products Pvt Ltd. Plot No. 334, Sector-3, IMT, Bawal, Haryana-123501, India Country of Origin - India customer care ++919870282778",B00DRE00D8,CF100085,India,120 g,45 x 45 x 150 Millimeters,Face Wash,"Blossom Kochhar Beauty Products Pvt Ltd. Plot No. 334, Sector-3, IMT, Bawal, Haryana-123501, India Country of Origin - India customer care ++919870282778",Not available,1 Face Washes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"POND'S Bright Beauty Spot-less Glow Face Wash With Vitamins, Removes Dead Skin Cells & Dark Spots, Double Brightness Action, All Skin Types, 100g",https://m.media-amazon.com/images/I/41s5wVGxWnL._AC_UL320_.jpg,https://amazon.in/PONDS-Beauty-Spotless-Lightening-Facial/dp/B006LXCLI4/ref=sr_1_49?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-49,140,175,4.2,"1,837",51%,30%,11%,3%,4%,https://amazon.in/PONDS-Beauty-Spotless-Lightening-Facial/product-reviews/B006LXCLI4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Foam,Normal,POND'S,Not available,Dermatologist Tested,Oil Free,Adult,1,100.0 gram,Not available,No,3.6 x 6.8 x 15.6 cm; 100 Grams,01-Jan-17,HUL,B006LXCLI4,12330,India,100 g,36 x 68 x 156 Millimeters,PETROLEUM JELLY,DELHI,Not available,Not available,Not available,Not available,Not available,Sunset peach,1,Not available,Not available,Not available
"Aroma Magic Neem And Tea Tree Face Wash, 100ml",https://m.media-amazon.com/images/I/51-TLa-V3-L._AC_UL320_.jpg,https://amazon.in/Aroma-Magic-Neem-Tree-100ml/dp/B00DRE2S0G/ref=sr_1_50?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-50,127,170,4,"32,081",48%,27%,13%,5%,7%,https://amazon.in/Aroma-Magic-Neem-Tree-100ml/product-reviews/B00DRE2S0G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,Oily,Aroma Magic,Neem,Cruelty Free,"Alcohol Free, Paraben Free",Adult,1,100.00 millilitre,"Not Tested On Animals, Unscented",No,5.3 x 4.2 x 15.8 cm; 120 Grams,02-Sep-13,"Blossom Kochhar Beauty Products Pvt. Ltd., Blossom Kochhar Beauty Products Pvt. Ltd. 90-A, Khasra No. 68, Shiv Ganga Indl.Est. , Tehsil- Bhagwanpur, Haridwar, Uttarakhand-247661 (India) Helpline: 9811642820",B00DRE2S0G,8.90409E+12,India,120 g,5.3 x 4.2 x 15.8 Centimeters,Face Washes,"Blossom Kochhar Beauty Products Pvt. Ltd. 90-A, Khasra No. 68, Shiv Ganga Indl.Est. , Tehsil- Bhagwanpur, Haridwar, Uttarakhand-247661 (India) Helpline: 9811642820","Blossom Kochhar Beauty Products Pvt. Ltd. 90-A, Khasra No. 68, Shiv Ganga Indl.Est. , Tehsil- Bhagwanpur, Haridwar, Uttarakhand-247661 (India) Helpline: 9811642820",1 Face Washes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Himalaya Tan Removal Orange Face Wash, 100ml",https://m.media-amazon.com/images/I/51bH+KviXJL._AC_UL320_.jpg,https://amazon.in/Himalaya-Removal-Orange-Face-100ml/dp/B072QLJZ1B/ref=sr_1_51?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-51,137,149,4.2,"3,869",55%,25%,12%,4%,5%,https://amazon.in/Himalaya-Removal-Orange-Face-100ml/product-reviews/B072QLJZ1B/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,Dry,Himalaya,Honey,Not available,Not available,Adult|Youth,1,100.0 millilitre,Not available,No,6.3 x 3.6 x 16.7 cm; 100 Grams,08-Jun-17,"Himalaya, The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",B072QLJZ1B,7002889,India,100 g,6.3 x 3.6 x 16.7 Centimeters,Face wash,"The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",Not available,Face Wash 1 unit 100ML,Face,Not available,Not available,Orange,Not available,"Moisturizing,Skin",Not available,Not available
"Muuchstac Ocean Face Wash for Men, Fights Acne & Pimple, Skin Whitening & Brightening, All Skin Types, No SLS, Silicone and Paraben, 100 ML",https://m.media-amazon.com/images/I/616xSQTPH+L._AC_UL320_.jpg,https://amazon.in/Muuchstac-Face-Wash-100-Ml/dp/B07KB1Y75J/ref=sr_1_52?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-52,261,299,3.9,"8,534",48%,23%,13%,5%,10%,https://amazon.in/Muuchstac-Face-Wash-100-Ml/product-reviews/B07KB1Y75J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Liquid,"All, Oily",Muuchstac,All Spice,Biodegradable,"Sulphate Free, Mineral Oil Free, Paraffin Free",Adult,Not available,100 millilitre,Not Tested On Animals,No,17.5 x 4 x 4 cm; 125 Grams,07-Nov-18,"Universal Cosmetics, Universal Cosmetics, Silvasa",B07KB1Y75J,Not available,India,125 g,17.5 x 4 x 4 Centimeters,Not available,Not available,Not available,Not available,Not available,Not available,DNH/C/18,Not available,Not available,Not available,"licorice, chamomile & salicylic",Not available
"Pond'S Pure Detox Face Wash 200 G, Daily Exfoliating & Brightening Cleanser, Deep Cleans Oily Skin - With Activated Charcoal For Fresh, Glowing Skin",https://m.media-amazon.com/images/I/51ePWbQhKoL._AC_UL320_.jpg,https://amazon.in/PONDS-White-Pollution-Activated-Charcoal/dp/B08PQ6VWPT/ref=sr_1_53_mod_primary_new?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=face+wash%2Caps%2C245&sr=8-53,230372,425₹425,4.4,"5,703",61%,25%,8%,2%,4%,https://amazon.in/PONDS-White-Pollution-Activated-Charcoal/product-reviews/B08PQ6VWPT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Face wash 200 ml,Liquid,All,POND'S,Charcoal,Not available,Not available,Adult,1,200.0 gram,Exfoliating,Not available,5 x 5 x 16 cm; 200 Grams,04-Dec-20,"L.B.C.P.Pvt Ltd, LBCP Unit II, Haridwar 249403, Uttarakhand TOLL FREE : 1800-10-22-221 PO BOX 14760, MUMBAI 400 099 LEVER.CARE@UNILEVER.COM",B08PQ6VWPT,12972,India,200 g,50 x 50 x 160 Millimeters,Pure White Anti Pollution Activated Charcoal Face Wash,Not available,Not available,Face Wash,Face,Not available,Not available,Not available,1,Not available,Not available,Not available
"Pond'S Men Pollution Out Activated Charcoal Deep Clean Facewash, 100 G",https://m.media-amazon.com/images/I/511r4y4kGmL._AC_UL320_.jpg,https://amazon.in/Ponds-Pollution-Face-Wash-100g/dp/B00XTTME9Y/ref=sr_1_54?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-54,175,235,4.2,"5,089",54%,27%,11%,3%,4%,https://amazon.in/Ponds-Pollution-Face-Wash-100g/product-reviews/B00XTTME9Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,Not available,POND'S,Coffee,Not available,Not available,Adult,1,100.0 gram,Not available,No,4.9 x 8 x 4.9 cm; 100 Grams,18-May-15,"Hindustan Unilever Limited, Hindustan Unilever Limited L.B.C.P., UNIT II, HARIDWAR 49 403, UTTARAKHAND. M 16 C/UA/2010. ,Contact Info:-PO BOX 14760, MUMBAI 400099/LEVER.CARE@UNILEVER.COM Toll Free no: 18001022221",B00XTTME9Y,12797,India,100 g,49 x 80 x 49 Millimeters,Not available,"Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099 Toll Free no: 18001022221",Not available,FaceWash,Face,Not available,Not available,Not available,1,Brightening,Not available,Not available
Pilgrim Australian Vitamin C Gel Face Wash for glowing skin with Kakadu Plum & Lime Pearl™ | Vitamin C face wash for dry skin | Vitamin C face wash for radiant skin | Women & Men | 100 ml,https://m.media-amazon.com/images/I/51egzZId5LL._AC_UL320_.jpg,https://amazon.in/Pilgrim-Australian-Vitamin-glowing-PearlTM/dp/B0BS69XBML/ref=sr_1_55?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-55,175,250,4.8,95,87%,9%,2%,2%,Not available,https://amazon.in/Pilgrim-Australian-Vitamin-glowing-PearlTM/product-reviews/B0BS69XBML/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cream,All,Pilgrim,Fresh,Not available,Not available,Adult,1,100.0 gram,Vitamin C,Not available,19 x 9.5 x 11 cm; 130 Grams,11-Jan-23,Naturis Cosmetics Pvt. Ltd,B0BS69XBML,Not available,India,130 g,19 x 9.5 x 11 Centimeters,Not available,Not available,Not available,Not available,Face,Not available,PGAVC-GFWT1,Not available,Not available,"Brightening,Radiant Skin",Not available,Not available
"Garnier Men, Face Wash, Brightening & Anti-Pollution, TurboBright Double Action, 100 g",https://m.media-amazon.com/images/I/51GiGaQe8aL._AC_UL320_.jpg,https://amazon.in/Garnier-Power-White-Double-Action/dp/B00V4L6JC2/ref=sr_1_56_mod_primary_new?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=face+wash%2Caps%2C245&sr=8-56,170222,180₹225,4.3,"34,031",58%,26%,9%,3%,4%,https://amazon.in/Garnier-Power-White-Double-Action/product-reviews/B00V4L6JC2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Paste,All,Garnier,Citrus,Natural,Oil Free,18,1,100 gram,Natural Ingredients,No,6.2 x 3.5 x 14.5 cm; 100 Grams,24-Mar-15,"Pritam International Pvt Ltd., Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee, Uttarakhand - 247667, Phone: 022 2498 3000",B00V4L6JC2,SYMDF100,India,100 g,6.2 x 3.5 x 14.5 Centimeters,Facewash,"L’Oreal India Private Limited, A-Wing, 8th Floor, Marathon Futurex,N.M Joshi Marg, Lower Parel, Mumbai- 400013, Phone: 022 2498 3000","L'Oreal India Pvt. Ltd., A-Wing, 8th Floor, Marathon Futurex, N.M. Joshi Marg, Lower Parel, Mumbai-400013",Facewash,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Dot & Key Barrier Repair + Hydrating Gentle Face Wash With Probiotic & 5 Essential Ceremides | Face Wash For Dry, Normal & Sensitive Skin | Gently Cleanses Skin From Dirt & Oil For Unisex, 100Ml",https://m.media-amazon.com/images/I/51GSe-xk4tL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTozODMxMDA3NzA4ODE2MzMzOjE2ODAwNjkyMTk6c3BfYnRmOjIwMTI2MzI3OTIwMzk4OjowOjo&url=%2FHydrating-Probiotic-Essential-Ceremides-Sensitive%2Fdp%2FB0BDVCTTB6%2Fref%3Dsr_1_57_sspa%3Fcrid%3D2YSQ7WN74RIQY%26keywords%3Dface%2Bwash%26qid%3D1680069219%26sprefix%3Dface%2Bwash%252Caps%252C245%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,249,295,4.4,165,65%,20%,10%,2%,4%,https://amazon.in/Hydrating-Probiotic-Essential-Ceremides-Sensitive/product-reviews/B0BDVCTTB6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,"Sensitive, Dry, Normal",DOT & KEY,Fragrance-Free,Fragrance Free,Paraben Free,Adult,1,100 millilitre,Travel Size,Not available,4 x 6.2 x 15.5 cm; 110 Grams,10-Sep-22,"RSH Global Pvt. Ltd, RSH Global Pvt. Ltd 159 Mahamayatala, Garia Main Road Ph No.: 8697725279 Kolkata - 700113",B0BDVCTTB6,Not available,India,110 g,40 x 62 x 155 Millimeters,Not available,"Dot & Key Wellness Private Limited, 7/1 Kulia Tangra 2nd Lane, Kolkata: 700015 Customer Care: 9007011112 | customercare@dotandkey.com",Not available,Not available,Not available,Not available,CL1038M,Not available,Not available,Not available,Not available,Not available
"LAKMÉ Absolute Perfect Radiance Brightening Facial Foam, 150 ml",https://m.media-amazon.com/images/I/11XeEA6mUiL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTozODMxMDA3NzA4ODE2MzMzOjE2ODAwNjkyMTk6c3BfYnRmOjIwMTE1NDkzNjg0ODk4OjowOjo&url=%2FAbsolute-Perfect-Radiance-Brightening-Facial%2Fdp%2FB0B42ZHTSD%2Fref%3Dsr_1_58_sspa%3Fcrid%3D2YSQ7WN74RIQY%26keywords%3Dface%2Bwash%26qid%3D1680069219%26sprefix%3Dface%2Bwash%252Caps%252C245%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,549,549,3.9,36,50%,17%,14%,4%,14%,https://amazon.in/Absolute-Perfect-Radiance-Brightening-Facial/product-reviews/B0B42ZHTSD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cream,All,LAKMÉ,Unscented,Not available,Not available,Adult,1,150.0 gram,Moisturizing,Not available,6.1 x 4.9 x 20.5 cm; 150 Grams,14-Jun-22,"Aero Pharma (Silvassa), Preeti Indl., Aero Pharma (Silvassa), Preeti Indl. Estate, Survey No. 127/1, Amli, Silvassa 396 230, Dadra & Nagar Haveli M.L. No. – M DNH/C/33.(AA) L.B.C.P. Unit II, Haridwar 249 403, Uttrakhand M.L. No. M 16/C/UA2010",B0B42ZHTSD,LPRW100,India,150 g,6.1 x 4.9 x 20.5 Centimeters,Facial Foam,"Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099","Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099",Not available,Face,Not available,Not available,Clear,Not available,Not available,Not available,Not available
Simple Kind To Skin Refreshing Facial Wash 150 ml,https://m.media-amazon.com/images/I/51lV2Pem64L._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTozODMxMDA3NzA4ODE2MzMzOjE2ODAwNjkyMTk6c3BfYnRmOjIwMDY2OTk0OTIwNjk4OjowOjo&url=%2FSimple-Kind-Refreshing-Facial-Globalbeauty%2Fdp%2FB000LQUA6M%2Fref%3Dsr_1_59_sspa%3Fcrid%3D2YSQ7WN74RIQY%26keywords%3Dface%2Bwash%26qid%3D1680069219%26sprefix%3Dface%2Bwash%252Caps%252C245%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,360,385,4.3,"10,442",60%,24%,8%,3%,5%,https://amazon.in/Simple-Kind-Refreshing-Facial-Globalbeauty/product-reviews/B000LQUA6M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,All,Simple,Unscented,"Dermatologically Tested,Non-comedogenic,Vegan,Non-comedogenic Tested","No Alcohol,No Parabens,Paraben Free,Soap Free,Soap-free",Adult,1,150.0 millilitre,"Hypoallerge, Cruelty Free, Vegan",No,10 x 10 x 5 cm; 500 Grams,11-Apr-16,"AERO PHARMA, AERO PHARMA (SILVASSA), PREETI INDL. ESTATE, SURVEY No. 127/1 , AMLI, SILVASSA 396 230",B000LQUA6M,5.01145E+12,India,500 g,10 x 10 x 5 Centimeters,Kind To Skin Refreshing Facial Wash,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
